timestamp_utc,price_sek_per_kwh,temp_out_c,temp_in_c,setpoint_c,heating,power_kw,cop,occupancy
2025-09-03T00:00:00.000Z,0.8200,12.10,20.97,21.02,0,0.000,,1
2025-09-03T00:05:00.000Z,0.8200,12.00,20.94,21.04,0,0.000,,1
2025-09-03T00:10:00.000Z,0.8200,11.90,20.91,21.05,0,0.000,,1
2025-09-03T00:15:00.000Z,0.8200,11.80,20.98,21.07,1,3.500,3.57,1
2025-09-03T00:20:00.000Z,0.8200,11.70,21.06,21.17,1,3.500,3.57,1
2025-09-03T00:25:00.000Z,0.8200,11.70,21.13,21.26,1,3.500,3.57,1
2025-09-03T00:30:00.000Z,0.8200,11.60,21.20,21.33,1,3.500,3.56,1
2025-09-03T00:35:00.000Z,0.8200,11.60,21.27,21.39,1,3.500,3.56,1
2025-09-03T00:40:00.000Z,0.8200,11.50,21.35,21.45,1,3.500,3.56,1
2025-09-03T00:45:00.000Z,0.8200,11.50,21.42,21.49,1,3.500,3.56,1
2025-09-03T00:50:00.000Z,0.8200,11.40,21.49,21.45,1,3.500,3.56,1
2025-09-03T00:55:00.000Z,0.8200,11.40,21.56,21.42,1,3.500,3.56,1
2025-09-03T01:00:00.000Z,1.1500,11.30,21.52,21.32,0,0.000,,1
2025-09-03T01:05:00.000Z,1.1500,11.20,21.49,21.22,0,0.000,,1
2025-09-03T01:10:00.000Z,1.1500,11.20,21.45,21.13,0,0.000,,1
2025-09-03T01:15:00.000Z,1.1500,11.10,21.42,21.06,0,0.000,,1
2025-09-03T01:20:00.000Z,1.1500,11.10,21.39,20.99,0,0.000,,1
2025-09-03T01:25:00.000Z,1.1500,11.00,21.35,20.94,0,0.000,,1
2025-09-03T01:30:00.000Z,1.1500,11.00,21.32,20.89,0,0.000,,1
2025-09-03T01:35:00.000Z,1.1500,10.90,21.28,20.85,0,0.000,,1
2025-09-03T01:40:00.000Z,1.1500,10.90,21.25,20.82,0,0.000,,1
2025-09-03T01:45:00.000Z,1.1500,10.80,21.21,20.79,0,0.000,,1
2025-09-03T01:50:00.000Z,1.1500,10.80,21.18,20.76,0,0.000,,1
2025-09-03T01:55:00.000Z,1.1500,10.70,21.14,20.74,0,0.000,,1
2025-09-03T02:00:00.000Z,0.6500,10.70,21.11,20.84,0,0.000,,1
2025-09-03T02:05:00.000Z,0.6500,10.60,21.07,20.92,0,0.000,,1
2025-09-03T02:10:00.000Z,0.6500,10.60,21.04,20.99,0,0.000,,1
2025-09-03T02:15:00.000Z,0.6500,10.50,21.00,21.05,0,0.000,,1
2025-09-03T02:20:00.000Z,0.6500,10.50,20.97,21.11,0,0.000,,1
2025-09-03T02:25:00.000Z,0.6500,10.40,21.03,21.16,1,3.500,3.52,1
2025-09-03T02:30:00.000Z,0.6500,10.40,21.10,21.20,1,3.500,3.52,1
2025-09-03T02:35:00.000Z,0.6500,10.30,21.17,21.24,1,3.500,3.51,1
2025-09-03T02:40:00.000Z,0.6500,10.30,21.23,21.27,1,3.500,3.51,1
2025-09-03T02:45:00.000Z,0.6500,10.20,21.30,21.30,1,3.500,3.51,1
2025-09-03T02:50:00.000Z,0.6500,10.20,21.37,21.33,1,3.500,3.51,1
2025-09-03T02:55:00.000Z,0.6500,10.10,21.43,21.35,1,3.500,3.50,1
2025-09-03T03:00:00.000Z,0.7800,10.10,21.49,21.35,1,3.500,3.50,1
2025-09-03T03:05:00.000Z,0.7800,10.00,21.56,21.36,1,3.500,3.50,1
2025-09-03T03:10:00.000Z,0.7800,10.00,21.52,21.36,0,0.000,,1
2025-09-03T03:15:00.000Z,0.7800,9.90,21.48,21.37,0,0.000,,1
2025-09-03T03:20:00.000Z,0.7800,9.90,21.44,21.38,0,0.000,,1
2025-09-03T03:25:00.000Z,0.7800,9.80,21.40,21.38,0,0.000,,1
